,title,is_fake
243,сборная россия приглашать новый биатлонистка,0
244,изза санкция сша россия убирать английский надпись схема навигация,1
245,госдума вносить законопроект запрещать публично подвергать сомнение результат выборы,1
246,армия сша заказывать крупный партия прибор ночной видение,0
247,мороз заставлять разбронировать стратегический резерв топливо,0
248,следующий президентский выборы американец голосовать исключительно почта,1
249,балтфлот требовать губернатор беглов 610 рубль испорченный рында,1
250,изза ужесточение санитарный норма апартотель аркадий ротенберг оказываться грань банкротство,1
251,минюст обращаться суд взыскание навальный выплачивать компенсация решение еспча,1
252,румыния попросить ес мвф антикризисный кредит,0
253,зюзинский суд обязывать юрий дудеть согласовывать мвд кандидатура интервью,1
254,минкульт предлагать высекать знаменитый фраза лавров гранит устанавливать мид,1
255,многодетный отец продавать пенсионер тысяча талон интернет,1
256,профсоюз рэпер москва потребовать освобождать оксимирон,1
257,инфляция россия начало год превышать процент,0
258,астроном обнаруживать черный дыра финансовый отчет роснано,1
259,авиакомпания utair избавляться ту134,0
260,телекомментатор отказываться извиняться плющенко,0
261,итог год хороший новость,1
262,российский биатлонистка оставаться медаль индивидуальный гонка,0
263,подмосковье получать компенсация расширение москва,0
264,россия запрещать продавать автомобиль ограничитель скорость,1
265,хабаровский коммунальный служба перекрашивать весь великий китайский стена изза граффити навальный,1
266,давид микеланджело защищать грязь помощь сквозняк,0
267,долг российский регион вырастать 20 процент год,0
268,боярский потерять надежда чемпионство зенит,0
269,белый дом объяснять миролюбивый тон речь байден сбой работа телесуфлер,1
270,центробанк лишать лицензия банка предоставлять кредит покупка игровой приставка,1
271,сборная россия разгромить анжи,0
272,россия поплатиться отсталость,0
273,вера буржуазный суд кпрф оспаривать итог выборы собственный партийный тройка,1
274,клуб санмарино приглашать ромарио шумахер участие лига чемпион,0
275,интервью марадон напоминать пагубный пристрастие,0
276,уголовный кодекс появляться наказание разглагольствование,1
277,следственный комитет устанавливать весь участник массовый беспорядок август 1991го,1
278,ковальчук отрываться овечкин спор снайпер нхл,0
279,visa mastercard мочь разделять судьба microsoft,0
280,фсин смочь объяснять ефремов сниматься сериал 2021 год,1
281,оппозиция отвергать второй кандидатура пост председатель японский цб,0
282,чемпион нба оказываться грань вылет плейофф,0
283,биржа подымать стоимость сбербанк пять процент,0
284,дальний восток задерживать рыбак раскачивать лодка,1
285,сэм мендес поставлять мюзикл чарли шоколадный фабрика,0
286,установка новый дорожный знак тротуар выделять 20 миллиард рубль,1
287,петербуржец запрещать выходить улица время проведение парад вмф,1
288,госдума призывать платить пенсия впадать маразм,1
289,москва пожертвовать демонтировать плитка заповедник херсонес таврический,1
290,бактерия превращать растение спирт,0
291,несанкционированный митинг поддержка арестованный губернатор белозерцева проходить пенза,1
292,ученый сколково разрабатывать система умный электронный голосование,1
293,чучело евгений понасенкова выставлять палата мера весы,1
294,жертва мейдофф стэнфорд объединяться ради жалоба конгресс сша,0
295,исполнять обязанность директор исаакий вовненко порадоваться уход пост,0
296,twitter замедлять работа аккаунт роскомнадзор,1
297,волгоградский депутат пересаживаться общественный транспорт судить попытка насильственный свержение власть,1
298,осужденный статья ук мошенничество привлекать работа выборы госдума,1
299,российский защитник забросить победный шайба матч нхл,0
300,марш побеждать арестованный протестующий проводить конвой центр москва,1
301,юрий розум опровергать свой назначение ректор гнесинка,0
302,деятель культура публично выражать антигосударственный позиция лишать статус российский,1
303,динар сафина выходить 18 финал australian open,0
304,минсельхоз предлагать бесплатно раздавать земля аграрный проект,0
305,шохин заниматься перестановка рспп,0
306,рекордный выручка apple приводить обвал акция компания,0
307,станислав черчесов назначать главный тренер сборная россия хоккей,1
308,яндекс мвд объявлять создание онлайнпроект яосведомитель,1
309,министр нефть иран указывать опек чрезмерный экспорт,0
310,анатолий вассерман прессконференция верно отвечать 50 вопрос журналист,1
311,российский бобслеистолимпиец объявлять возвращение армрестлинг,0
312,делегация цик беларусь прибывать москва курсы повышение квалификация,1
313,российский фехтовальщик выигрывать золото чемпионат мир,0
314,валентина терешкова утро вносить госдума законопроект полный запрет оружие гражданский,1
315,сборная россия отказываться забивать гол пока губерний вставать колено бузова,1
316,совфед призывать вводить запрещать конституция цензура идеология,1
317,депутат призывать россиянин соблюдать великий пост окончание пандемия,1
318,среди прививаться июнь молодой москвич разыгрывать военный билет,1
319,зюганов выгонять партия кухарка который намереваться становиться лидер кпрф,1
320,уралвагонзавод приостанавливать работа изза задержание рабочий вечерний смена,1
321,дмитрий солдатов возглавлять российский список forbes,1
322,пенсионный фонд запрашивать правительство 500 млрд рубль изза падение цена биткоин,1
323,виктор янукович представлять книга независимый украина 30 год деградация,1
324,американский eximbank находить давать деньги,0
325,губернатор моргенштерн заблокировать суэцкий канал новый полномочие пенсионный фонд уникальный медицинский операция екатеринбург наш еженедельный рубрика панорама неделя,1
326,европейский экономика пасть натиск китаец,0
327,полинезия находить зуб поле гоген,0
328,призывник негодный состояние здоровье отправлять альтернативный гражданский служба,1
329,госслужащий лишний вес выдавать денежный пособие поддержание здоровье,1
330,сколково выпускать новый модель клюкать,1
331,погребальный группа гана замечать гостиница покров,1
332,жить лес эрдоган распоряжаться неделя выселять турецкий город весь противник вакцинация,1
333,состав московский водопроводный вода находить взрывоопасный газ,1
334,дед мороз проводить прямой линия первый канал 30 декабрь,1
335,париж заводить дело поддельный билет лувр,0
336,лорел хаббард объяснять неудача олимпиада беременность,1
337,суд взыскивать 20 млн рубль двойник александр петров обман получать главный роль фильм стрелец,1
338,американский спасатель смочь отказывать помощь расист гомофоб,1
339,раздача частота 4g конкурс засекречивать,0
340,бывший совладелец юкос рассказывать доля березовский сибнефть,0
341,лоза раскритиковывать навальный попытка бороться коррупция,1
342,российский студент помогать афганский фермер собирать урожай,1
343,роботтостер прошагать рекордный расстояние,0
344,formula1 хаккинен одерживать первый победа сезон,0
345,роналд выходить ринг чемпион ufc макгрегор,0
346,иркутск задерживать школьник заказывать почта иностранный учебный пособие биология,1
347,белоруссия приостанавливать поставка морепродукт норвегия ответ давление правительство,1
348,неймар подавать встречный иск барселона,0
349,римейк часть dragon quest выходить америка,0
350,локомотив выигрывать кубок россия,0
351,журналист караулов попросить деньги исторический фильм художник воин мечтатель,1
352,фрэнк лэмпард умолять грабитель вернуть именной бутса,0
353,зенит находить наказывать виновный нарушение регламент,0
354,каспаров линарес смочь обыгрывать соперник несостоявшийся чемпионский матч,0
355,крестный отец румынский народ бухарест проходить акция посвящать память чаушеска,1
356,армия австралия закупать тысяча машина 75 миллиард доллар,0
357,молодой работник разрешать пять год думать судьба пенсия,0
358,джейсон шрайер действие far cry 7 проходить беларусь,1
359,оон признавать сталинский конституция самый демократичный история,1
360,динамо выкупать акция футбольный клуб федорычев,0
361,mailru вводить плата использование почтовый ящик,1
362,футболист итальянский клуб объявлять забастовка,0
363,скрытый лист высылать 20 дипломат скрытый дождь инцидент шпион,1
364,хоакин феникс оставлять кино ради музыка,0
365,касьянов рост ввп обгонять прогноз,0
366,джордж буш снова собираться бурить аляска,0
367,находить контейнер советский луноход оказываться макет,0
368,хулиган нападывать лидер хорватский футбольный сборная,0
369,газпром попросить правительство новый льгота,0
370,сандра буллок удочерять девочка детский дом,0
371,польский компания потребовать еврокомиссия оштрафовать газпром,0
372,день вручение нобель литература умирать лауреат 1997 год дарио фо,0
373,1 январь россия обязывать согласовывать домашние мероприятие празднование,1
374,художник раздеваться догола четырехлетний девочка музей,0
375,букмекер вырубать лес амазония поддержка сборная англия,0
376,россия вводить налог выигрыш киберспортивный дисциплина,1
377,новый ведущий становиться даня милохин,1
378,джеймс бонд угрожать американизация,0
379,28 памфиловец россия снимать фильм цик спасать выборы иностранный вмешательство,1
380,эксимбанк решать предоставлять тнк гарантия 490 миллион доллар,0
381,акелла анонсировать новый disciples,0
382,сотников рассказывать любовь кержаков фигурный катание,0
383,падение результат медведева находиться объяснение,0
384,верховный суд сша разрешать избираться конгресс гражданин отрицательный iq,1
